index,features,weights,run_id,tool
657,0.00 < an_pleural_effusion_0.0 <= 1.00,0.01727290487312562,1702066597700,LIME
657,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,-0.004909603309578268,1702066597700,LIME
657,pr_firstorder_MeanAbsoluteDeviation_5.5566 <= 0.00,-0.0033649592486923764,1702066597700,LIME
204,age_84 <= 0.00,0.7444856377410012,1702066597700,LIME
204,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7260664380765478,1702066597700,LIME
204,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.5240582082554711,1702066597700,LIME
204,age_74 <= 0.00,0.41528303982777853,1702066597700,LIME
204,age_75 <= 0.00,0.3830018223995018,1702066597700,LIME
204,age_67 <= 0.00,0.2083968475419247,1702066597700,LIME
204,pr_firstorder_MeanAbsoluteDeviation_5.476 <= 0.00,0.05946697194496025,1702066597700,LIME
204,0.00 < an_pleural_effusion_0.0 <= 1.00,0.014212868715619918,1702066597700,LIME
204,age_54 <= 0.00,-0.006958247022390186,1702066597700,LIME
204,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,-0.002203610283745858,1702066597700,LIME
641,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7295916091301048,1702066597700,LIME
641,age_84 <= 0.00,0.6623801590751024,1702066597700,LIME
641,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.5995044524939582,1702066597700,LIME
641,age_75 <= 0.00,0.4063061199447059,1702066597700,LIME
641,age_74 <= 0.00,0.3490783000412624,1702066597700,LIME
641,age_67 <= 0.00,0.24879140435305502,1702066597700,LIME
641,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,-0.028135145257875537,1702066597700,LIME
641,0.00 < an_pleural_effusion_0.0 <= 1.00,0.014374351602730854,1702066597700,LIME
641,age_54 <= 0.00,-0.005969172718958229,1702066597700,LIME
641,pr_firstorder_MeanAbsoluteDeviation_5.5566 <= 0.00,-0.0040019545575958925,1702066597700,LIME
399,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7437663690558247,1702066597700,LIME
399,age_84 <= 0.00,0.6996389495637583,1702066597700,LIME
399,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.592303448091904,1702066597700,LIME
399,age_74 <= 0.00,0.42067133167978765,1702066597700,LIME
399,age_75 <= 0.00,0.4095406124723348,1702066597700,LIME
399,age_67 <= 0.00,0.2067699834617191,1702066597700,LIME
399,0.00 < an_pleural_effusion_0.0 <= 1.00,0.015582434339179156,1702066597700,LIME
399,pr_firstorder_MeanAbsoluteDeviation_5.5566 <= 0.00,0.0032724372413077602,1702066597700,LIME
399,pr_firstorder_MeanAbsoluteDeviation_5.476 <= 0.00,0.0031244981371157925,1702066597700,LIME
399,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,-0.0026994746667305335,1702066597700,LIME
547,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7372899020934329,1702066597700,LIME
547,age_84 <= 0.00,0.6604493693480333,1702066597700,LIME
547,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.6232824387702749,1702066597700,LIME
547,age_74 <= 0.00,0.39691699256461493,1702066597700,LIME
547,age_75 <= 0.00,0.3496628953876824,1702066597700,LIME
547,age_67 <= 0.00,0.23773978354575526,1702066597700,LIME
547,0.00 < an_pleural_effusion_0.0 <= 1.00,0.01525516212250705,1702066597700,LIME
547,age_54 <= 0.00,-0.01314163058148935,1702066597700,LIME
547,an_pleural_effusion_1.0 <= 0.00,0.0024968588893499355,1702066597700,LIME
547,pr_firstorder_MeanAbsoluteDeviation_5.476 <= 0.00,-0.0016593431828985355,1702066597700,LIME
792,age_84 <= 0.00,0.7381835307487106,1702066597700,LIME
